
  1	0 1 2 3 	0 1 2 3 	4-1 
  2	0 1 2 4 	0 1 2 4 	4-2 
  3	0 1 2 5 	0 1 2 5 	4-4 
  4	0 1 2 6 	0 1 2 6 	4-5 
  5	0 1 2 7 	0 1 2 7 	4-6 
  6	0 1 2 8 	0 1 2 6 	4-5 
  7	0 1 2 9 	0 1 2 5 	4-4 
  8	0 1 2 A 	0 1 2 4 	4-2 
  9	0 1 2 B 	0 1 2 3 	4-1 
 10	0 1 3 4 	0 1 3 4 	4-3 
 11	0 1 3 5 	0 1 3 5 	4-11 
 12	0 1 3 6 	0 1 3 6 	4-13 
 13	0 1 3 7 	0 1 3 7 	4-29 
 14	0 1 3 8 	0 2 3 7 	4-14 
 15	0 1 3 9 	0 2 3 6 	4-12 
 16	0 1 3 A 	0 2 3 5 	4-10 
 17	0 1 3 B 	0 1 2 4 	4-2 
 18	0 1 4 5 	0 1 4 5 	4-7 
 19	0 1 4 6 	0 1 4 6 	4-15 
 20	0 1 4 7 	0 1 4 7 	4-18 
 21	0 1 4 8 	0 1 4 8 	4-19 
 22	0 1 4 9 	0 3 4 7 	4-17 
 23	0 1 4 A 	0 2 3 6 	4-12 
 24	0 1 4 B 	0 1 2 5 	4-4 
 25	0 1 5 6 	0 1 5 6 	4-8 
 26	0 1 5 7 	0 1 5 7 	4-16 
 27	0 1 5 8 	0 1 5 8 	4-20 
 28	0 1 5 9 	0 1 4 8 	4-19 
 29	0 1 5 A 	0 2 3 7 	4-14 
 30	0 1 5 B 	0 1 2 6 	4-5 
 31	0 1 6 7 	0 1 6 7 	4-9 
 32	0 1 6 8 	0 1 5 7 	4-16 
 33	0 1 6 9 	0 1 4 7 	4-18 
 34	0 1 6 A 	0 1 3 7 	4-29 
 35	0 1 6 B 	0 1 2 7 	4-6 
 36	0 1 7 8 	0 1 5 6 	4-8 
 37	0 1 7 9 	0 1 4 6 	4-15 
 38	0 1 7 A 	0 1 3 6 	4-13 
 39	0 1 7 B 	0 1 2 6 	4-5 
 40	0 1 8 9 	0 1 4 5 	4-7 
 41	0 1 8 A 	0 1 3 5 	4-11 
 42	0 1 8 B 	0 1 2 5 	4-4 
 43	0 1 9 A 	0 1 3 4 	4-3 
 44	0 1 9 B 	0 1 2 4 	4-2 
 45	0 1 A B 	0 1 2 3 	4-1 
 46	0 2 3 4 	0 1 2 4 	4-2 
 47	0 2 3 5 	0 2 3 5 	4-10 
 48	0 2 3 6 	0 2 3 6 	4-12 
 49	0 2 3 7 	0 2 3 7 	4-14 
 50	0 2 3 8 	0 1 3 7 	4-29 
 51	0 2 3 9 	0 1 3 6 	4-13 
 52	0 2 3 A 	0 1 3 5 	4-11 
 53	0 2 3 B 	0 1 3 4 	4-3 
 54	0 2 4 5 	0 1 3 5 	4-11 
 55	0 2 4 6 	0 2 4 6 	4-21 
 56	0 2 4 7 	0 2 4 7 	4-22 
 57	0 2 4 8 	0 2 4 8 	4-24 
 58	0 2 4 9 	0 2 4 7 	4-22 
 59	0 2 4 A 	0 2 4 6 	4-21 
 60	0 2 4 B 	0 1 3 5 	4-11 
 61	0 2 5 6 	0 1 4 6 	4-15 
 62	0 2 5 7 	0 2 5 7 	4-23 
 63	0 2 5 8 	0 2 5 8 	4-27 
 64	0 2 5 9 	0 3 5 8 	4-26 
 65	0 2 5 A 	0 2 4 7 	4-22 
 66	0 2 5 B 	0 1 3 6 	4-13 
 67	0 2 6 7 	0 1 5 7 	4-16 
 68	0 2 6 8 	0 2 6 8 	4-25 
 69	0 2 6 9 	0 2 5 8 	4-27 
 70	0 2 6 A 	0 2 4 8 	4-24 
 71	0 2 6 B 	0 1 3 7 	4-29 
 72	0 2 7 8 	0 1 5 7 	4-16 
 73	0 2 7 9 	0 2 5 7 	4-23 
 74	0 2 7 A 	0 2 4 7 	4-22 
 75	0 2 7 B 	0 2 3 7 	4-14 
 76	0 2 8 9 	0 1 4 6 	4-15 
 77	0 2 8 A 	0 2 4 6 	4-21 
 78	0 2 8 B 	0 2 3 6 	4-12 
 79	0 2 9 A 	0 1 3 5 	4-11 
 80	0 2 9 B 	0 2 3 5 	4-10 
 81	0 2 A B 	0 1 2 4 	4-2 
 82	0 3 4 5 	0 1 2 5 	4-4 
 83	0 3 4 6 	0 2 3 6 	4-12 
 84	0 3 4 7 	0 3 4 7 	4-17 
 85	0 3 4 8 	0 1 4 8 	4-19 
 86	0 3 4 9 	0 1 4 7 	4-18 
 87	0 3 4 A 	0 1 4 6 	4-15 
 88	0 3 4 B 	0 1 4 5 	4-7 
 89	0 3 5 6 	0 1 3 6 	4-13 
 90	0 3 5 7 	0 2 4 7 	4-22 
 91	0 3 5 8 	0 3 5 8 	4-26 
 92	0 3 5 9 	0 2 5 8 	4-27 
 93	0 3 5 A 	0 2 5 7 	4-23 
 94	0 3 5 B 	0 1 4 6 	4-15 
 95	0 3 6 7 	0 1 4 7 	4-18 
 96	0 3 6 8 	0 2 5 8 	4-27 
 97	0 3 6 9 	0 3 6 9 	4-28 
 98	0 3 6 A 	0 2 5 8 	4-27 
 99	0 3 6 B 	0 1 4 7 	4-18 
100	0 3 7 8 	0 1 5 8 	4-20 
101	0 3 7 9 	0 2 5 8 	4-27 
102	0 3 7 A 	0 3 5 8 	4-26 
103	0 3 7 B 	0 1 4 8 	4-19 
104	0 3 8 9 	0 1 4 7 	4-18 
105	0 3 8 A 	0 2 4 7 	4-22 
106	0 3 8 B 	0 3 4 7 	4-17 
107	0 3 9 A 	0 1 3 6 	4-13 
108	0 3 9 B 	0 2 3 6 	4-12 
109	0 3 A B 	0 1 2 5 	4-4 
110	0 4 5 6 	0 1 2 6 	4-5 
111	0 4 5 7 	0 2 3 7 	4-14 
112	0 4 5 8 	0 1 4 8 	4-19 
113	0 4 5 9 	0 1 5 8 	4-20 
114	0 4 5 A 	0 1 5 7 	4-16 
115	0 4 5 B 	0 1 5 6 	4-8 
116	0 4 6 7 	0 1 3 7 	4-29 
117	0 4 6 8 	0 2 4 8 	4-24 
118	0 4 6 9 	0 2 5 8 	4-27 
119	0 4 6 A 	0 2 6 8 	4-25 
120	0 4 6 B 	0 1 5 7 	4-16 
121	0 4 7 8 	0 1 4 8 	4-19 
122	0 4 7 9 	0 3 5 8 	4-26 
123	0 4 7 A 	0 2 5 8 	4-27 
124	0 4 7 B 	0 1 5 8 	4-20 
125	0 4 8 9 	0 1 4 8 	4-19 
126	0 4 8 A 	0 2 4 8 	4-24 
127	0 4 8 B 	0 1 4 8 	4-19 
128	0 4 9 A 	0 1 3 7 	4-29 
129	0 4 9 B 	0 2 3 7 	4-14 
130	0 4 A B 	0 1 2 6 	4-5 
131	0 5 6 7 	0 1 2 7 	4-6 
132	0 5 6 8 	0 1 3 7 	4-29 
133	0 5 6 9 	0 1 4 7 	4-18 
134	0 5 6 A 	0 1 5 7 	4-16 
135	0 5 6 B 	0 1 6 7 	4-9 
136	0 5 7 8 	0 2 3 7 	4-14 
137	0 5 7 9 	0 2 4 7 	4-22 
138	0 5 7 A 	0 2 5 7 	4-23 
139	0 5 7 B 	0 1 5 7 	4-16 
140	0 5 8 9 	0 3 4 7 	4-17 
141	0 5 8 A 	0 2 4 7 	4-22 
142	0 5 8 B 	0 1 4 7 	4-18 
143	0 5 9 A 	0 2 3 7 	4-14 
144	0 5 9 B 	0 1 3 7 	4-29 
145	0 5 A B 	0 1 2 7 	4-6 
146	0 6 7 8 	0 1 2 6 	4-5 
147	0 6 7 9 	0 1 3 6 	4-13 
148	0 6 7 A 	0 1 4 6 	4-15 
149	0 6 7 B 	0 1 5 6 	4-8 
150	0 6 8 9 	0 2 3 6 	4-12 
151	0 6 8 A 	0 2 4 6 	4-21 
152	0 6 8 B 	0 1 4 6 	4-15 
153	0 6 9 A 	0 2 3 6 	4-12 
154	0 6 9 B 	0 1 3 6 	4-13 
155	0 6 A B 	0 1 2 6 	4-5 
156	0 7 8 9 	0 1 2 5 	4-4 
157	0 7 8 A 	0 1 3 5 	4-11 
