[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 10]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 9, 11]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 9]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 9, 10]
[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 10, 9]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 9, 10, 11]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 9, 11, 10]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 10, 9, 11]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 10, 11, 9]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 11, 9, 10]
[0, 1, 2, 3, 4, 5, 6, 8, 7, 11, 10, 9]
[0, 1, 2, 3, 4, 5, 7, 6, 8, 9, 10, 11]
[0, 1, 2, 3, 4, 5, 7, 6, 8, 9, 11, 10]
[0, 1, 2, 3, 4, 5, 7, 6, 8, 10, 9, 11]
[0, 1, 2, 3, 4, 5, 7, 6, 8, 10, 11, 9]
[0, 1, 2, 3, 4, 5, 7, 6, 8, 11, 9, 10]
[0, 1, 2, 3, 4, 5, 7, 6, 8, 11, 10, 9]
[0, 1, 2, 3, 4, 5, 7, 8, 6, 9, 10, 11]
[0, 1, 2, 3, 4, 5, 7, 8, 6, 9, 11, 10]
[0, 1, 2, 3, 4, 5, 7, 8, 6, 10, 9, 11]
[0, 1, 2, 3, 4, 5, 7, 8, 6, 10, 11, 9]
[0, 1, 2, 3, 4, 5, 7, 8, 6, 11, 9, 10]
[0, 1, 2, 3, 4, 5, 7, 8, 6, 11, 10, 9]
[0, 1, 2, 3, 4, 5, 8, 6, 7, 9, 10, 11]
[0, 1, 2, 3, 4, 5, 8, 6, 7, 9, 11, 10]
[0, 1, 2, 3, 4, 5, 8, 6, 7, 10, 9, 11]
[0, 1, 2, 3, 4, 5, 8, 6, 7, 10, 11, 9]
[0, 1, 2, 3, 4, 5, 8, 6, 7, 11, 9, 10]
[0, 1, 2, 3, 4, 5, 8, 6, 7, 11, 10, 9]
[0, 1, 2, 3, 4, 5, 8, 7, 6, 9, 10, 11]
[0, 1, 2, 3, 4, 5, 8, 7, 6, 9, 11, 10]
[0, 1, 2, 3, 4, 5, 8, 7, 6, 10, 9, 11]
[0, 1, 2, 3, 4, 5, 8, 7, 6, 10, 11, 9]
[0, 1, 2, 3, 4, 5, 8, 7, 6, 11, 9, 10]
[0, 1, 2, 3, 4, 5, 8, 7, 6, 11, 10, 9]
[0, 1, 2, 3, 4, 5, 9, 10, 11, 6, 7, 8]
[0, 1, 2, 3, 4, 5, 9, 10, 11, 6, 8, 7]
[0, 1, 2, 3, 4, 5, 9, 10, 11, 7, 6, 8]
[0, 1, 2, 3, 4, 5, 9, 10, 11, 7, 8, 6]
[0, 1, 2, 3, 4, 5, 9, 10, 11, 8, 6, 7]
[0, 1, 2, 3, 4, 5, 9, 10, 11, 8, 7, 6]
[0, 1, 2, 3, 4, 5, 9, 11, 10, 6, 7, 8]
[0, 1, 2, 3, 4, 5, 9, 11, 10, 6, 8, 7]
[0, 1, 2, 3, 4, 5, 9, 11, 10, 7, 6, 8]
[0, 1, 2, 3, 4, 5, 9, 11, 10, 7, 8, 6]
[0, 1, 2, 3, 4, 5, 9, 11, 10, 8, 6, 7]
[0, 1, 2, 3, 4, 5, 9, 11, 10, 8, 7, 6]
[0, 1, 2, 3, 4, 5, 10, 9, 11, 6, 7, 8]
[0, 1, 2, 3, 4, 5, 10, 9, 11, 6, 8, 7]
[0, 1, 2, 3, 4, 5, 10, 9, 11, 7, 6, 8]
[0, 1, 2, 3, 4, 5, 10, 9, 11, 7, 8, 6]
[0, 1, 2, 3, 4, 5, 10, 9, 11, 8, 6, 7]
[0, 1, 2, 3, 4, 5, 10, 9, 11, 8, 7, 6]
[0, 1, 2, 3, 4, 5, 10, 11, 9, 6, 7, 8]
[0, 1, 2, 3, 4, 5, 10, 11, 9, 6, 8, 7]
[0, 1, 2, 3, 4, 5, 10, 11, 9, 7, 6, 8]
[0, 1, 2, 3, 4, 5, 10, 11, 9, 7, 8, 6]
[0, 1, 2, 3, 4, 5, 10, 11, 9, 8, 6, 7]
[0, 1, 2, 3, 4, 5, 10, 11, 9, 8, 7, 6]
[0, 1, 2, 3, 4, 5, 11, 9, 10, 6, 7, 8]
[0, 1, 2, 3, 4, 5, 11, 9, 10, 6, 8, 7]
[0, 1, 2, 3, 4, 5, 11, 9, 10, 7, 6, 8]
[0, 1, 2, 3, 4, 5, 11, 9, 10, 7, 8, 6]
[0, 1, 2, 3, 4, 5, 11, 9, 10, 8, 6, 7]
[0, 1, 2, 3, 4, 5, 11, 9, 10, 8, 7, 6]
[0, 1, 2, 3, 4, 5, 11, 10, 9, 6, 7, 8]
[0, 1, 2, 3, 4, 5, 11, 10, 9, 6, 8, 7]
[0, 1, 2, 3, 4, 5, 11, 10, 9, 7, 6, 8]
[0, 1, 2, 3, 4, 5, 11, 10, 9, 7, 8, 6]
[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 6, 7]
[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6]
[0, 1, 2, 3, 5, 4, 6, 7, 8, 9, 10, 11]
[0, 1, 2, 3, 5, 4, 6, 7, 8, 9, 11, 10]
[0, 1, 2, 3, 5, 4, 6, 7, 8, 10, 9, 11]
[0, 1, 2, 3, 5, 4, 6, 7, 8, 10, 11, 9]
[0, 1, 2, 3, 5, 4, 6, 7, 8, 11, 9, 10]
[0, 1, 2, 3, 5, 4, 6, 7, 8, 11, 10, 9]
[0, 1, 2, 3, 5, 4, 6, 8, 7, 9, 10, 11]
[0, 1, 2, 3, 5, 4, 6, 8, 7, 9, 11, 10]
[0, 1, 2, 3, 5, 4, 6, 8, 7, 10, 9, 11]
[0, 1, 2, 3, 5, 4, 6, 8, 7, 10, 11, 9]
[0, 1, 2, 3, 5, 4, 6, 8, 7, 11, 9, 10]
[0, 1, 2, 3, 5, 4, 6, 8, 7, 11, 10, 9]
[0, 1, 2, 3, 5, 4, 7, 6, 8, 9, 10, 11]
[0, 1, 2, 3, 5, 4, 7, 6, 8, 9, 11, 10]
[0, 1, 2, 3, 5, 4, 7, 6, 8, 10, 9, 11]
[0, 1, 2, 3, 5, 4, 7, 6, 8, 10, 11, 9]
[0, 1, 2, 3, 5, 4, 7, 6, 8, 11, 9, 10]
[0, 1, 2, 3, 5, 4, 7, 6, 8, 11, 10, 9]
[0, 1, 2, 3, 5, 4, 7, 8, 6, 9, 10, 11]
[0, 1, 2, 3, 5, 4, 7, 8, 6, 9, 11, 10]
[0, 1, 2, 3, 5, 4, 7, 8, 6, 10, 9, 11]
[0, 1, 2, 3, 5, 4, 7, 8, 6, 10, 11, 9]
[0, 1, 2, 3, 5, 4, 7, 8, 6, 11, 9, 10]
[0, 1, 2, 3, 5, 4, 7, 8, 6, 11, 10, 9]
[0, 1, 2, 3, 5, 4, 8, 6, 7, 9, 10, 11]
[0, 1, 2, 3, 5, 4, 8, 6, 7, 9, 11, 10]
[0, 1, 2, 3, 5, 4, 8, 6, 7, 10, 9, 11]
[0, 1, 2, 3, 5, 4, 8, 6, 7, 10, 11, 9]
[0, 1, 2, 3, 5, 4, 8, 6, 7, 11, 9, 10]
[0, 1, 2, 3, 5, 4, 8, 6, 7, 11, 10, 9]
[0, 1, 2, 3, 5, 4, 8, 7, 6, 9, 10, 11]
[0, 1, 2, 3, 5, 4, 8, 7, 6, 9, 11, 10]
[0, 1, 2, 3, 5, 4, 8, 7, 6, 10, 9, 11]
[0, 1, 2, 3, 5, 4, 8, 7, 6, 10, 11, 9]
[0, 1, 2, 3, 5, 4, 8, 7, 6, 11, 9, 10]
[0, 1, 2, 3, 5, 4, 8, 7, 6, 11, 10, 9]
[0, 1, 2, 3, 5, 4, 9, 10, 11, 6, 7, 8]
[0, 1, 2, 3, 5, 4, 9, 10, 11, 6, 8, 7]
[0, 1, 2, 3, 5, 4, 9, 10, 11, 7, 6, 8]
[0, 1, 2, 3, 5, 4, 9, 10, 11, 7, 8, 6]
[0, 1, 2, 3, 5, 4, 9, 10, 11, 8, 6, 7]
[0, 1, 2, 3, 5, 4, 9, 10, 11, 8, 7, 6]
[0, 1, 2, 3, 5, 4, 9, 11, 10, 6, 7, 8]
[0, 1, 2, 3, 5, 4, 9, 11, 10, 6, 8, 7]
[0, 1, 2, 3, 5, 4, 9, 11, 10, 7, 6, 8]
[0, 1, 2, 3, 5, 4, 9, 11, 10, 7, 8, 6]
[0, 1, 2, 3, 5, 4, 9, 11, 10, 8, 6, 7]
[0, 1, 2, 3, 5, 4, 9, 11, 10, 8, 7, 6]
[0, 1, 2, 3, 5, 4, 10, 9, 11, 6, 7, 8]
[0, 1, 2, 3, 5, 4, 10, 9, 11, 6, 8, 7]
[0, 1, 2, 3, 5, 4, 10, 9, 11, 7, 6, 8]
[0, 1, 2, 3, 5, 4, 10, 9, 11, 7, 8, 6]
[0, 1, 2, 3, 5, 4, 10, 9, 11, 8, 6, 7]
[0, 1, 2, 3, 5, 4, 10, 9, 11, 8, 7, 6]
[0, 1, 2, 3, 5, 4, 10, 11, 9, 6, 7, 8]
[0, 1, 2, 3, 5, 4, 10, 11, 9, 6, 8, 7]
[0, 1, 2, 3, 5, 4, 10, 11, 9, 7, 6, 8]
[0, 1, 2, 3, 5, 4, 10, 11, 9, 7, 8, 6]
[0, 1, 2, 3, 5, 4, 10, 11, 9, 8, 6, 7]
[0, 1, 2, 3, 5, 4, 10, 11, 9, 8, 7, 6]
[0, 1, 2, 3, 5, 4, 11, 9, 10, 6, 7, 8]
[0, 1, 2, 3, 5, 4, 11, 9, 10, 6, 8, 7]
[0, 1, 2, 3, 5, 4, 11, 9, 10, 7, 6, 8]
[0, 1, 2, 3, 5, 4, 11, 9, 10, 7, 8, 6]
[0, 1, 2, 3, 5, 4, 11, 9, 10, 8, 6, 7]
[0, 1, 2, 3, 5, 4, 11, 9, 10, 8, 7, 6]
[0, 1, 2, 3, 5, 4, 11, 10, 9, 6, 7, 8]
[0, 1, 2, 3, 5, 4, 11, 10, 9, 6, 8, 7]
[0, 1, 2, 3, 5, 4, 11, 10, 9, 7, 6, 8]
[0, 1, 2, 3, 5, 4, 11, 10, 9, 7, 8, 6]
[0, 1, 2, 3, 5, 4, 11, 10, 9, 8, 6, 7]
[0, 1, 2, 3, 5, 4, 11, 10, 9, 8, 7, 6]
